cell_line_id,cell_line_name,lineage,primary_disease,oncotree_code
ACH-001374,PA-1 [PA1],ovary,Ovarian Cancer,
ACH-001375,PACADD-119,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001376,PACADD-135,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001377,PACADD-137,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001378,PACADD-159,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001379,PACADD-161,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001380,PACADD-165,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001382,PACADD-188,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001383,PWR-1E,prostate,Prostate Cancer,Adenocarcinoma
ACH-001384,RO82-W-1,thyroid,Thyroid Cancer,"Carcinoma, follicular"
ACH-001385,RPMI 2650,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-001386,SCLC-22H,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-001390,SUM-149PT,breast,Breast Cancer,Breast Ductal Carcinoma
ACH-001391,SUM-159PT,breast,Breast Cancer,Carcinoma
ACH-001392,SUM-185PE,breast,Breast Cancer,Carcinoma
ACH-001394,SUM-229PE,breast,Breast Cancer,Carcinoma
ACH-001396,"SUM-52PE, SUM52",breast,Breast Cancer,Carcinoma
ACH-001398,SW 156,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-001399,SW 626,colorectal,Colon/Colorectal Cancer,
ACH-001400,SW 954,cervix,Cervical Cancer,Squamous Cell Carcinoma
ACH-001401,SW-13,adrenal_cortex,Adrenal Cancer,Carcinoma
ACH-001402,SW756,cervix,Cervical Cancer,Squamous Cell Carcinoma
ACH-001403,TO14,ovary,Ovarian Cancer,Cystadenocarcinoma
ACH-001407,UM-UC-13,urinary_tract,Bladder Cancer,Transitional Cell Carcinoma
ACH-001408,UM-UC-14,urinary_tract,Bladder Cancer,Transitional Cell Carcinoma
ACH-001409,UM-UC-16,urinary_tract,Bladder Cancer,Transitional Cell Carcinoma
ACH-001412,UM-UC-10,urinary_tract,Bladder Cancer,Transitional Cell Carcinoma
ACH-001413,UM-UC-11,urinary_tract,Bladder Cancer,Transitional Cell Carcinoma
ACH-001414,UM-UC-6,urinary_tract,Bladder Cancer,Transitional Cell Carcinoma
ACH-001415,UM-UC7,urinary_tract,Bladder Cancer,Transitional Cell Carcinoma
ACH-001416,UM-UC9,urinary_tract,Bladder Cancer,Transitional Cell Carcinoma
ACH-001417,UMC-11,lung,Lung Cancer,Carcinoid
ACH-001418,UWB1.289,ovary,Ovarian Cancer,"Adenocarcinoma, serous"
ACH-001421,WERI-Rb-1,eye,Eye Cancer,Retinoblastoma
ACH-001430,TC138,bone,Bone Cancer,Ewings Sarcoma
ACH-001431,TC205,bone,Bone Cancer,Ewings Sarcoma
ACH-001442,A388,epidermoid_carcinoma,Skin Cancer,Squamous Cell Carcinoma
ACH-001443,ASH-3,thyroid,Thyroid Cancer,Carcinoma
ACH-001450,BLUE-1,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Burkitts"
ACH-001451,BOKU,cervix,Cervical Cancer,Squamous Cell Carcinoma
ACH-001452,BONNA-12,blood,Leukemia,Hairy Cell
ACH-001453,BPH-1,prostate,Prostate Cancer,Prostate Hyperplasia
ACH-001454,C10,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001456,C125PM,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001458,C75,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001459,C80,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001460,C84,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001461,C99,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001484,CI,blood,Leukemia,"B-cell, unspecified"
ACH-001485,CII,blood,Leukemia,"B-cell, unspecified"
ACH-001489,COR-L32,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"
ACH-001490,COR-L321,lung,Lung Cancer,Carcinoma
ACH-001494,EGI-1,bile_duct,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic"
ACH-001496,ESO26,esophagus,Esophageal Cancer,Adenocarcinoma
ACH-001497,ESO51,esophagus,Esophageal Cancer,Adenocarcinoma
ACH-001498,Farage,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins"
ACH-001500,FLO-1,esophagus,Esophageal Cancer,Adenocarcinoma
ACH-001517,HEC-1,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-001519,H-EMC-SS,bone,Bone Cancer,Chondrosarcoma
ACH-001521,HKA-1,skin,Skin Cancer,Squamous Cell Carcinoma
ACH-001522,HMY-1,skin,Skin Cancer,Melanoma
ACH-001523,HSC-1,skin,Skin Cancer,Squamous Cell Carcinoma
ACH-001525,HT-3,cervix,Cervical Cancer,Carcinoma
ACH-001526,HuO9,bone,Bone Cancer,Osteosarcoma
ACH-001528,IHH-4,thyroid,Thyroid Cancer,"Carcinoma, papillary"
ACH-001529,JAR,uterus,Endometrial/Uterine Cancer,Choriocarcinoma
ACH-001530,JEG-3,uterus,Endometrial/Uterine Cancer,Choriocarcinoma
ACH-001532,JMU-RTK-2,kidney,Rhabdoid,Malignant Rhabdoid Tumor
ACH-001536,KKU-100,bile_duct,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic"
ACH-001542,KON,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-001543,KOSC-2,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, oral"
ACH-001544,KYAE-1,esophagus,Esophageal Cancer,Adenocarcinoma
ACH-001549,Lu-135,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-001550,MCC13,skin,Skin Cancer,Merkel Cell Carcinoma
ACH-001551,MCC14/2,skin,Skin Cancer,Merkel Cell Carcinoma
ACH-001552,MCC26,skin,Skin Cancer,Merkel Cell Carcinoma
ACH-001554,mel-202,eye,Eye Cancer,Uveal Melanoma
ACH-001563,MM127,skin,Skin Cancer,"Melanoma, amelanotic"
ACH-001566,MM370,skin,Skin Cancer,Melanoma
ACH-001567,MM383,skin,Skin Cancer,Melanoma
ACH-001568,MM386,skin,Skin Cancer,Melanoma
ACH-001570,MM426,skin,Skin Cancer,Melanoma
ACH-001574,MOLM-14,blood,Leukemia,Acute Myelogenous Leukemia (AML)
ACH-001578,NCCIT,embryo,Embryonal Cancer,Carcinoma
ACH-001591,NCI-H1417,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-001599,NCI-H64,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-001603,NH-12,peripheral_nervous_system,Neuroblastoma,
ACH-001605,no.10,central_nervous_system,Brain Cancer,Glioblastoma
ACH-001606,no.11,central_nervous_system,Brain Cancer,Glioblastoma
ACH-001611,NP 8,central_nervous_system,Brain Cancer,Glioblastoma
ACH-001617,OCI-LY7,lymphocyte,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL)
ACH-001625,OSC-19,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-001626,OSC-20,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-001628,PEA1,ovary,Ovarian Cancer,Cystadenocarcinoma
ACH-001630,PEO1,ovary,Ovarian Cancer,Cystadenocarcinoma
ACH-001632,PEO4,ovary,Ovarian Cancer,Cystadenocarcinoma
ACH-001636,Ramos,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Burkitts"
ACH-001638,RC-K8,lymphocyte,Lymphoma,B-cell
ACH-001639,ROS-50,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-001641,SAT,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-001642,SCC-3,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins"
ACH-001645,SEKI,skin,Skin Cancer,Melanoma
ACH-001650,SISO,cervix,Cervical Cancer,Cervical Adenocarcinoma
ACH-001653,SK-GT-2,gastric,Gastric Cancer,Adenocarcinoma
ACH-001654,SK-GT-4,esophagus,Esophageal Cancer,Adenocarcinoma
ACH-001655,SKN,uterus,Endometrial/Uterine Cancer,Endometrial Squamous Cell Carcinoma
ACH-001669,TANOUE,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-001670,TASK1,peripheral_nervous_system,Brain Cancer,Primitive Neuroectodermal Tumor (PNET)
ACH-001673,TFK-1,bile_duct,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic"
ACH-001674,TGW,peripheral_nervous_system,Neuroblastoma,
ACH-001677,U-2904,lymphocyte,Lymphoma,B-cell
ACH-001680,U-698-M,lymphocyte,Lymphoma,Lymphoblastic Lymphoma
ACH-001702,VA-ES-BJ,soft_tissue,Sarcoma,Epithelioid
ACH-001703,VAL,lymphocyte,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL)
ACH-001704,VMRC-MELG,skin,Skin Cancer,Melanoma
ACH-001709,WSU-NHL,lymphocyte,Lymphoma,B-cell
ACH-001711,PFSK-1,central_nervous_system,Brain Cancer,Primitive Neuroectodermal Tumor (PNET)
ACH-001715,CAL-72,bone,Bone Cancer,Osteosarcoma
ACH-001716,GOTO,peripheral_nervous_system,Neuroblastoma,
ACH-001735,SEMK2,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-001736,HB1119,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-001737,CTV-1-DM,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-001738,CCRF-CEM,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-001740,RH28,soft_tissue,Sarcoma,"Rhabdomyosarcoma, alveolar"
ACH-001745,RhJT,soft_tissue,Sarcoma,"Rhabdomyosarcoma, alveolar"
ACH-001750,TTC442,soft_tissue,Sarcoma,"Rhabdomyosarcoma, embryonal"
ACH-001751,Rh36,soft_tissue,Sarcoma,"Rhabdomyosarcoma, embryonal"
ACH-001765,Rh4,soft_tissue,Sarcoma,"Rhabdomyosarcoma, alveolar"
ACH-001819,MFM-223,breast,Breast Cancer,Breast Ductal Carcinoma
ACH-001820,COLO-824,breast,Breast Cancer,
ACH-001858,SSP-25,bile_duct,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic"
ACH-001861,TGBC1TKB,bile_duct,Gallbladder Cancer,Adenocarcinoma
ACH-001956,Mug-Chor-1,bone,Bone Cancer,Chordoma
ACH-001957,Um-Chor1,bone,Bone Cancer,Chordoma
ACH-001958,MS1,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002005,SK-MEL-19,skin,Skin Cancer,Melanoma
ACH-002020,SKG-IIIa,cervix,Cervical Cancer,Carcinoma
ACH-002024,ECC4,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-002029,SAS,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, tongue"
ACH-002040,HMV-II,skin,Skin Cancer,Melanoma
ACH-002043,Ca9-22,upper_aerodigestive,Head and Neck Cancer,"Carcinoma, gingival"
ACH-002045,HO-1-u-1,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, oral"
ACH-002051,Lu-134-A,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002052,Lu-139,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002058,ATN-1,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-002059,P30/OHK,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-002062,SLVL,lymphocyte,Lymphoma,B-cell
ACH-002067,NOS-1,bone,Bone Cancer,Osteosarcoma
ACH-002077,Lu-165,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002083,NB69,peripheral_nervous_system,Neuroblastoma,
ACH-002084,MMAc,skin,Skin Cancer,Melanoma
ACH-002089,201T,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-002090,BB65-RCC,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-002091,CAL-39,skin,Skin Cancer,"Squamous Cell Carcinoma, vulvar"
ACH-002092,CHSA0011,bone,Bone Cancer,Chondrosarcoma
ACH-002093,CHSA0108,bone,Bone Cancer,Chondrosarcoma
ACH-002094,CHSA8926,bone,Bone Cancer,Chondrosarcoma
ACH-002095,COR-L303,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002096,CP50-MEL-B,skin,Skin Cancer,Melanoma
ACH-002097,CP66-MEL,skin,Skin Cancer,Melanoma
ACH-002098,CP67-MEL,skin,Skin Cancer,Melanoma
ACH-002099,CS1,bone,Bone Cancer,Chondrosarcoma
ACH-002100,DJM-1,skin,Skin Cancer,Squamous Cell Carcinoma
ACH-002101,EMC-BAC-1,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified"
ACH-002102,EMC-BAC-2,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified"
ACH-002103,ES1,bone,Bone Cancer,Ewings Sarcoma
ACH-002104,ES3,bone,Bone Cancer,Ewings Sarcoma
ACH-002105,ES4,bone,Bone Cancer,Ewings Sarcoma
ACH-002106,ES5,bone,Bone Cancer,Ewings Sarcoma
ACH-002107,ES6,bone,Bone Cancer,Ewings Sarcoma
ACH-002108,ES7,bone,Bone Cancer,Ewings Sarcoma
ACH-002109,ES8,bone,Bone Cancer,Ewings Sarcoma
ACH-002110,EW-1,bone,Bone Cancer,Ewings Sarcoma
ACH-002111,EW-11,bone,Bone Cancer,Ewings Sarcoma
ACH-002112,EW-12,bone,Bone Cancer,Ewings Sarcoma
ACH-002113,EW-13,bone,Bone Cancer,Ewings Sarcoma
ACH-002114,EW-16,bone,Bone Cancer,Ewings Sarcoma
ACH-002115,EW-18,bone,Bone Cancer,Ewings Sarcoma
ACH-002116,EW-22,bone,Bone Cancer,Ewings Sarcoma
ACH-002117,EW-24,bone,Bone Cancer,Ewings Sarcoma
ACH-002118,EW-3,bone,Bone Cancer,Ewings Sarcoma
ACH-002119,EW-7,bone,Bone Cancer,Ewings Sarcoma
ACH-002120,GAK,skin,Skin Cancer,Melanoma
ACH-002121,G-MEL,skin,Skin Cancer,Melanoma
ACH-002122,GT3TKB,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"
ACH-002123,H2369,lung,Lung Cancer,Mesothelioma
ACH-002124,H2373,lung,Lung Cancer,Mesothelioma
ACH-002125,H2461,lung,Lung Cancer,Mesothelioma
ACH-002126,H2591,lung,Lung Cancer,Mesothelioma
ACH-002127,H2595,lung,Lung Cancer,Mesothelioma
ACH-002128,H2722,lung,Lung Cancer,Mesothelioma
ACH-002129,H2731,lung,Lung Cancer,Mesothelioma
ACH-002130,H2795,lung,Lung Cancer,Mesothelioma
ACH-002131,H2803,lung,Lung Cancer,Mesothelioma
ACH-002132,H2804,lung,Lung Cancer,Mesothelioma
ACH-002133,H2810,lung,Lung Cancer,Mesothelioma
ACH-002134,H2818,lung,Lung Cancer,Mesothelioma
ACH-002135,H2869,lung,Lung Cancer,Mesothelioma
ACH-002136,H290,lung,Lung Cancer,Mesothelioma
ACH-002138,H513,lung,Unknown,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma"
ACH-002139,HA7-RCC,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-002140,Hey,ovary,Ovarian Cancer,"Adenocarcinoma, high grade serous"
ACH-002141,HSC-39,gastric,Gastric Cancer,"Adenocarcinoma, signet ring cell"
ACH-002142,HuO-3N1,bone,Bone Cancer,Osteosarcoma
ACH-002143,IST-MEL1,skin,Skin Cancer,Melanoma
ACH-002144,IST-SL1,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002145,IST-SL2,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002146,JHOS-3,ovary,Ovarian Cancer,"Adenocarcinoma, serous"
ACH-002147,K2,skin,Skin Cancer,Melanoma
ACH-002148,K5,thyroid,Thyroid Cancer,"Carcinoma, papillary"
ACH-002149,KGN,ovary,Ovarian Cancer,Granulosa Cell Tumor
ACH-002150,LB1047-RCC,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-002151,LB2241-RCC,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-002152,LB2518-MEL,skin,Skin Cancer,Melanoma
ACH-002153,LB373-MEL-D,skin,Skin Cancer,Melanoma
ACH-002154,LB647-SCLC,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002155,LB996-RCC,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-002156,LC-1-sq,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"
ACH-002157,LC-2-ad,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-002158,LU-99A,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma"
ACH-002159,M14,skin,Skin Cancer,"Melanoma, amelanotic"
ACH-002160,MC-IXC,bone,Bone Cancer,Ewings Sarcoma
ACH-002161,MKN28,gastric,Gastric Cancer,Adenocarcinoma
ACH-002162,MMAC-SF,skin,Skin Cancer,Melanoma
ACH-002163,MRK-nu-1,breast,Breast Cancer,Carcinoma
ACH-002164,MZ1-PC,pancreas,Pancreatic Cancer,Ductal Adenocarcinoma
ACH-002165,MZ2-MEL,skin,Skin Cancer,Melanoma
ACH-002166,MZ7-mel,skin,Skin Cancer,Melanoma
ACH-002167,NCC010,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-002168,NCC021,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-002169,NCI-H1304,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002170,NCI-H1688,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002171,NCI-H250,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002172,NCI-H322M,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-002173,NCI-H378,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002174,NCI-H720,lung,Lung Cancer,Carcinoid
ACH-002175,NCI-H740,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002176,NCI-H748,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002177,NCI-H835,lung,Lung Cancer,Carcinoid
ACH-002178,NY,bone,Bone Cancer,Osteosarcoma
ACH-002179,OCUB-M,breast,Breast Cancer,Carcinoma
ACH-002180,OMC-1,cervix,Cervical Cancer,Squamous Cell Carcinoma
ACH-002181,OVCA420,ovary,Ovarian Cancer,"Adenocarcinoma, serous"
ACH-002182,OVCA433,ovary,Ovarian Cancer,"Adenocarcinoma, serous"
ACH-002183,OVMIU,ovary,Ovarian Cancer,"Adenocarcinoma, high grade serous"
ACH-002184,PC-3_[JPC-3],lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-002185,PL18,pancreas,Pancreatic Cancer,Ductal Adenocarcinoma
ACH-002186,PL4,pancreas,Pancreatic Cancer,Ductal Adenocarcinoma
ACH-002187,RCC-AB,kidney,Kidney Cancer,"Renal Carcinoma, clear cell"
ACH-002188,RCC-ER,kidney,Kidney Cancer,"Renal Carcinoma, clear cell"
ACH-002189,RCC-FG2,kidney,Kidney Cancer,"Renal Carcinoma, clear cell"
ACH-002190,RCC-JF,kidney,Kidney Cancer,"Renal Carcinoma, clear cell"
ACH-002191,RCC-JW,kidney,Kidney Cancer,"Renal Carcinoma, clear cell"
ACH-002192,RCC-MF,kidney,Kidney Cancer,"Renal Carcinoma, clear cell"
ACH-002193,RERF-LC-FM,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002194,RH-1,bone,Bone Cancer,Ewings Sarcoma
ACH-002195,RXF393,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-002196,SBC-1,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002197,SBC-3,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002198,SCH,gastric,Gastric Cancer,Choriocarcinoma
ACH-002199,SN12C,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-002200,SW962,skin,Skin Cancer,"Carcinoma, vulvar"
ACH-002201,TC-YIK,cervix,Cervical Cancer,Small Cell Carcinoma
ACH-002202,TMK-1,gastric,Gastric Cancer,Adenocarcinoma
ACH-002204,U-CH2,bone,Bone Cancer,"Chordoma, sacral"
ACH-002205,WM1552C,skin,Skin Cancer,Melanoma
ACH-002206,WM278,skin,Skin Cancer,Melanoma
ACH-002207,WM35,skin,Skin Cancer,Melanoma
ACH-002208,YMB-1-E,breast,Breast Cancer,Breast Ductal Carcinoma
ACH-002209,ALL-PO,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-002210,ARH-77,blood,Non-Cancerous,
ACH-002211,BALL-1,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-002212,BB30-HNC,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-002213,BB49-HNC,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-002214,BC-1,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Primary Effusion"
ACH-002215,BC-3,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Primary Effusion"
ACH-002216,BE-13,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-002217,BE2-M17,peripheral_nervous_system,Neuroblastoma,
ACH-002218,CESS,blood,Leukemia,Acute Myelogenous Leukemia (AML)
ACH-002219,COLO-320-HSR,colorectal,Colon/Colorectal Cancer,Colon Adenocarcinoma
ACH-002220,CRO-AP2,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Primary Effusion"
ACH-002221,CTB-1,lymphocyte,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL)
ACH-002222,CTV-1,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-002223,D-245MG,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002224,D-247MG,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002225,D-263MG,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002226,D-336MG,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002227,D-392MG,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002228,D-423MG,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002229,D-502MG,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002230,D-542MG,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002231,D-566MG,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002232,DG-75,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Burkitts"
ACH-002233,DIFI,colorectal,Colon/Colorectal Cancer,Colorectal Carcinoma
ACH-002234,DOK,upper_aerodigestive,Head and Neck Cancer,Oral Dysplasia
ACH-002235,DSH1,urinary_tract,Bladder Cancer,Carcinoma
ACH-002236,EB-3,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Burkitts"
ACH-002237,ETK-1,bile_duct,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic"
ACH-002238,GR-ST,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-002239,H3118,upper_aerodigestive,Head and Neck Cancer,"Carcinoma, mucoepidermoid"
ACH-002240,H9,lymphocyte,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous, Sezary Syndrome"
ACH-002241,HAL-01,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-002242,HC-1,blood,Leukemia,Hairy Cell
ACH-002243,HCE-4,esophagus,Esophageal Cancer,Squamous Cell Carcinoma
ACH-002244,HO-1-N-1,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, oral"
ACH-002245,Hs-445,lymphocyte,Lymphoma,Hodgkins
ACH-002246,Hs-633T,soft_tissue,Sarcoma,Fibrosarcoma
ACH-002247,IM-9,blood,Non-Cancerous,
ACH-002248,IMR-5,peripheral_nervous_system,Neuroblastoma,
ACH-002249,JHU-011,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, laryngeal"
ACH-002250,JHU-022,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, oral"
ACH-002251,JHU-029,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, laryngeal"
ACH-002252,JiyoyeP-2003,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Burkitts"
ACH-002253,JSC-1,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Primary Effusion"
ACH-002254,KARPAS-1106P,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Mediastinal Large"
ACH-002255,KARPAS-231,lymphocyte,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL)
ACH-002256,KARPAS-45,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-002257,KINGS-1,central_nervous_system,Brain Cancer,"Astrocytoma, anaplastic"
ACH-002258,KMOE-2,blood,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)"
ACH-002259,KNS-81-FD,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002260,,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-002261,KP-N-YS,peripheral_nervous_system,Neuroblastoma,
ACH-002262,KY821,blood,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)"
ACH-002263,KYSE-220,esophagus,Esophageal Cancer,Squamous Cell Carcinoma
ACH-002264,KYSE-50,esophagus,Esophageal Cancer,Squamous Cell Carcinoma
ACH-002265,LB771-HNC,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-002266,LB831-BLC,urinary_tract,Bladder Cancer,Carcinoma
ACH-002267,LC4-1,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-002268,LN-405,central_nervous_system,Brain Cancer,Glioblastoma
ACH-002269,LNZTA3WT4,central_nervous_system,Brain Cancer,Astrocytoma
ACH-002270,MC-CAR,blood,Non-Cancerous,
ACH-002271,MFH-ino,soft_tissue,Sarcoma,Malignant Fibrous Histiocytoma
ACH-002272,MHH-PREB-1,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins"
ACH-002273,ML-2,blood,Leukemia,Acute Myelogenous Leukemia (AML)
ACH-002274,MLMA,blood,Leukemia,Hairy Cell
ACH-002275,MN-60,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-002276,MY-M12,blood,Leukemia,Acute Biphenotypic Leukemia
ACH-002277,NB(TU)1-10,peripheral_nervous_system,Neuroblastoma,
ACH-002278,NB10,peripheral_nervous_system,Neuroblastoma,
ACH-002279,NB12,peripheral_nervous_system,Neuroblastoma,
ACH-002280,NB13,peripheral_nervous_system,Neuroblastoma,
ACH-002281,NB14,peripheral_nervous_system,Neuroblastoma,
ACH-002282,NB17,peripheral_nervous_system,Neuroblastoma,
ACH-002283,NB5,peripheral_nervous_system,Neuroblastoma,
ACH-002284,NB6,peripheral_nervous_system,Neuroblastoma,
