cell_line_id,cell_line_name,lineage,primary_disease,oncotree_code
ACH-000879,MFE-296,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000880,AGS,gastric,Gastric Cancer,Adenocarcinoma
ACH-000881,MEL-JUSO,skin,Skin Cancer,Melanoma
ACH-000882,IGR-1,skin,Skin Cancer,Melanoma
ACH-000883,SW 1783,central_nervous_system,Brain Cancer,Astrocytoma
ACH-000884,MDA-MB-435S,skin,Skin Cancer,"Melanoma, amelanotic"
ACH-000885,TOV-21G,ovary,Ovarian Cancer,"Adenocarcinoma, clear cell"
ACH-000886,NCI-H2009,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000887,SF-172,central_nervous_system,Brain Cancer,Glioblastoma
ACH-000888,NCI-H1793,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000889,KMM-1,plasma_cell,Myeloma,Multiple Myeloma
ACH-000890,SW 1271,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-000891,HCC-1438,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma"
ACH-000892,NCI-H1563,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000893,NCI-H1651,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000894,NCI-H1869,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"
ACH-000895,CL-34,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000896,647-V,urinary_tract,Bladder Cancer,Carcinoma
ACH-000897,FTC-238,thyroid,Thyroid Cancer,"Carcinoma, follicular"
ACH-000898,SNU-719,gastric,Gastric Cancer,"Adenocarcinoma, tubular"
ACH-000900,NCI-H23,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000901,HCC-1359,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma"
ACH-000902,CAL-148,breast,Breast Cancer,Breast Ductal Carcinoma
ACH-000903,FTC-133,thyroid,Thyroid Cancer,"Carcinoma, anaplastic"
ACH-000905,5637,urinary_tract,Bladder Cancer,
ACH-000906,ES-2,ovary,Ovarian Cancer,"Adenocarcinoma, clear cell"
ACH-000907,SNU-349,kidney,Kidney Cancer,"Renal Carcinoma, clear cell"
ACH-000910,MDA-MB-453,breast,Breast Cancer,Carcinoma
ACH-000911,NUGC-3,gastric,Gastric Cancer,Adenocarcinoma
ACH-000912,NCI-H2286,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-000913,ESS-1,uterus,Endometrial/Uterine Cancer,Endometrial Stromal Sarcoma
ACH-000914,HT,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins"
ACH-000915,IPC-298,skin,Skin Cancer,Melanoma
ACH-000916,NCI-H1573,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000917,TE-4,esophagus,Esophageal Cancer,Squamous Cell Carcinoma
ACH-000918,MOLT-16,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-000919,IM95,gastric,Gastric Cancer,Adenocarcinoma
ACH-000920,CML-T1,blood,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis"
ACH-000921,NCI-H157-DM,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"
ACH-000922,RCH-ACV,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-000923,BCP-1,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins"
ACH-000924,NCI-H2172,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified"
ACH-000925,DV-90,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000926,HT55,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000927,BT-474,breast,Breast Cancer,Breast Ductal Carcinoma
ACH-000928,JHUEM-1,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000929,NCI-H2110,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified"
ACH-000930,HCC1569,breast,Breast Cancer,Carcinoma
ACH-000931,HMCB,skin,Skin Cancer,Melanoma
ACH-000932,SNU-1,gastric,Gastric Cancer,Adenocarcinoma
ACH-000933,SNU-324,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-000934,MDA-MB-361,breast,Breast Cancer,Carcinoma
ACH-000935,MDST8,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000936,EFO-27,ovary,Ovarian Cancer,"Adenocarcinoma, endometrioid"
ACH-000937,PF-382,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-000938,NALM-6,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-000939,SK-UT-1,soft_tissue,Sarcoma,Leiomyosarcoma
ACH-000940,AN3 CA,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000941,HEC-1-B,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000942,HPB-ALL,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-000943,RKO,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000944,NAMALWA,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Burkitts"
ACH-000945,NCI-H650,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000946,HEC-265,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000947,OVK18,ovary,Ovarian Cancer,"Adenocarcinoma, endometrioid"
ACH-000948,23132/87,gastric,Gastric Cancer,Adenocarcinoma
ACH-000949,TGBC11TKB,gastric,Gastric Cancer,Adenocarcinoma
ACH-000950,LoVo,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000951,NCI-H2342,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000953,SUP-T1,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-000954,HEC-1-A,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000955,SNU-407,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000956,22Rv1,prostate,Prostate Cancer,Adenocarcinoma
ACH-000957,LS 180,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000958,SW48,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000959,SNU-C4,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000960,Reh,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-000961,Ishikawa (Heraklio) 02 ER-,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000962,OC 314,ovary,Ovarian Cancer,"Cystadenocarcinoma, clear cell"
ACH-000963,CCK-81,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000964,MOLT-3,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-000965,RL95-2,uterus,Endometrial/Uterine Cancer,Endometrial Adenosquamous Carcinoma
ACH-000966,IGROV1,ovary,Ovarian Cancer,"Adenocarcinoma, mixed"
ACH-000967,SNU-C2A,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000968,COLO 792,skin,Skin Cancer,Melanoma
ACH-000969,KM12,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000970,SNU-C5,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000971,HCT 116,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000972,HEC-151,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000973,639-V,urinary_tract,Bladder Cancer,Transitional Cell Carcinoma
ACH-000974,SNG-M,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000975,,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"
ACH-000976,HuCCT1,bile_duct,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic"
ACH-000977,LNCaP clone FGC,prostate,Prostate Cancer,Adenocarcinoma
ACH-000978,EN,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000979,DU 145,prostate,Prostate Cancer,Adenocarcinoma
ACH-000980,NCI-H1155,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma"
ACH-000981,DND-41,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-000982,GP2d,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000983,KCL-22,blood,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis"
ACH-000984,HEC-6,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000985,LS411N,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000986,HT115,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000987,MeWo,skin,Skin Cancer,Melanoma
ACH-000988,MFE-319,uterus,Endometrial/Uterine Cancer,
ACH-000989,SNU-175,colorectal,Colon/Colorectal Cancer,"Adenocarcinoma, mucinous"
ACH-000990,HEC-108,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000991,SNU-81,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000992,BICR 18,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-000993,JHUEM-7,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000994,HEC-59,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000995,JURKAT,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-000996,HEC-251,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000997,HCT-15,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000998,CW-2,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000999,SNU-1040,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001001,143B,bone,Bone Cancer,Osteosarcoma
ACH-001002,,skin,Skin Cancer,Melanoma
ACH-001016,Becker,central_nervous_system,Brain Cancer,Glioma
ACH-001020,BT-16,soft_tissue,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT)
ACH-001021,,liver,Liver Cancer,Hepatocellular Carcinoma
ACH-001022,CBAGPN,bone,Bone Cancer,Ewings Sarcoma
ACH-001023,CGTH-W-1,thyroid,Thyroid Cancer,Squamous Cell Carcinoma
ACH-001024,CHL-1,skin,Skin Cancer,Melanoma
ACH-001028,CHLA-06,soft_tissue,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT)
ACH-001029,CHLA-10,bone,Bone Cancer,Ewings Sarcoma
ACH-001030,,bone,Bone Cancer,Ewings Sarcoma
ACH-001031,CHLA-266,soft_tissue,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT)
ACH-001032,CHLA-32,bone,Bone Cancer,Ewings Sarcoma
ACH-001033,CHLA-57,central_nervous_system,Unknown,Primitive Neuroectodermal Tumor (PNET)
ACH-001034,CHLA-9,bone,Bone Cancer,Ewings Sarcoma
ACH-001035,CHLA-99,bone,Bone Cancer,Ewings Sarcoma
ACH-001036,CMK-11-5,blood,Leukemia,Acute Myelogenous Leukemia (AML)
ACH-001038,,bone,Bone Cancer,Ewings Sarcoma
ACH-001039,COLO 205,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001041,CHL-1-DM,skin,Skin Cancer,Melanoma
ACH-001044,,skin,Skin Cancer,Melanoma
ACH-001048,COV504,ovary,Ovarian Cancer,"Adenocarcinoma, high grade serous"
ACH-001049,,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-001050,CW9019,soft_tissue,Sarcoma,"Rhabdomyosarcoma, alveolar"
ACH-001053,D425,central_nervous_system,Brain Cancer,Medulloblastoma
ACH-001054,D458,central_nervous_system,Brain Cancer,Medulloblastoma
ACH-001057,,lymphocyte,Lymphoma,T-cell
ACH-001059,,soft_tissue,Rhabdoid,Malignant Rhabdoid Tumor
ACH-001060,,lymphocyte,Lymphoma,T-cell
ACH-001061,DLD-1,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001063,DOV13,ovary,Ovarian Cancer,Adenocarcinoma
