gene_name,cell_type,mean_effect,n_cell_lines
ACE,T_cell_CD8,-0.11476,5
ACE2,T_cell_CD8,0.33813,5
ACER1,T_cell_CD8,0.09301,5
ACER2,T_cell_CD8,0.0373,5
ACER3,T_cell_CD8,0.13054,5
ACHE,T_cell_CD8,-0.15061,5
ACIN1,T_cell_CD8,-0.55573,5
ACKR1,T_cell_CD8,-0.0063,5
ACKR2,T_cell_CD8,0.05286,5
ACKR3,T_cell_CD8,0.08574,5
ACKR4,T_cell_CD8,-0.27301,5
ACLY,T_cell_CD8,-0.77703,5
ACMSD,T_cell_CD8,0.00231,5
ACO1,T_cell_CD8,0.02721,5
ACO2,T_cell_CD8,-1.33685,5
ACOD1,T_cell_CD8,-0.08942,5
ACOT1,T_cell_CD8,0.24508,5
ACOT11,T_cell_CD8,-0.1191,5
ACOT12,T_cell_CD8,-0.21655,5
ACOT13,T_cell_CD8,-0.02798,5
ACOT2,T_cell_CD8,0.03008,5
ACOT4,T_cell_CD8,-0.37515,5
ACOT6,T_cell_CD8,-0.10069,5
ACOT7,T_cell_CD8,0.11918,5
ACOT8,T_cell_CD8,-0.08568,5
ACOT9,T_cell_CD8,0.10814,5
ACOX1,T_cell_CD8,-0.04848,5
ACOX2,T_cell_CD8,-0.07399,5
ACOX3,T_cell_CD8,0.03737,5
ACOXL,T_cell_CD8,-0.01278,5
ACP1,T_cell_CD8,-0.01287,5
ACP2,T_cell_CD8,-0.00316,5
ACP3,T_cell_CD8,-0.01291,5
ACP4,T_cell_CD8,0.0758,5
ACP5,T_cell_CD8,-0.07458,5
ACP6,T_cell_CD8,-0.04878,5
ACP7,T_cell_CD8,-0.02619,5
ACR,T_cell_CD8,-0.1136,5
ACRBP,T_cell_CD8,-0.00335,5
ACRV1,T_cell_CD8,0.17246,5
ACSBG1,T_cell_CD8,-0.06528,5
ACSBG2,T_cell_CD8,-0.08228,5
ACSF2,T_cell_CD8,0.02557,5
ACSF3,T_cell_CD8,0.06913,5
ACSL1,T_cell_CD8,-0.0747,5
ACSL3,T_cell_CD8,-0.80003,5
ACSL4,T_cell_CD8,-0.17034,5
ACSL5,T_cell_CD8,-0.04103,5
ACSL6,T_cell_CD8,-0.01832,5
ACSM1,T_cell_CD8,0.11098,5
ACSM2A,T_cell_CD8,0.1025,5
ACSM2B,T_cell_CD8,0.12933,5
ACSM3,T_cell_CD8,-0.01226,5
ACSM4,T_cell_CD8,0.18644,5
ACSM5,T_cell_CD8,0.15257,5
ACSM6,T_cell_CD8,0.04275,5
ACSS1,T_cell_CD8,0.01818,5
ACSS2,T_cell_CD8,0.10445,5
ACSS3,T_cell_CD8,-0.00237,5
ACTA1,T_cell_CD8,-0.27545,5
ACTA2,T_cell_CD8,0.03953,5
ACTB,T_cell_CD8,-0.83264,5
ACTBL2,T_cell_CD8,-0.04301,5
ACTC1,T_cell_CD8,0.06316,5
ACTG1,T_cell_CD8,-0.45806,5
ACTG2,T_cell_CD8,0.10265,5
ACTL10,T_cell_CD8,-0.05849,5
ACTL6A,T_cell_CD8,-1.72423,5
ACTL6B,T_cell_CD8,-0.05135,5
ACTL7A,T_cell_CD8,-0.16443,5
ACTL7B,T_cell_CD8,-0.10038,5
ACTL8,T_cell_CD8,-0.0844,5
ACTL9,T_cell_CD8,-0.08962,5
ACTN1,T_cell_CD8,-0.11081,5
ACTN2,T_cell_CD8,-0.15158,5
ACTN4,T_cell_CD8,-0.09087,5
ACTR10,T_cell_CD8,-0.91877,5
ACTR1A,T_cell_CD8,-0.39937,5
ACTR1B,T_cell_CD8,-0.42439,5
ACTR2,T_cell_CD8,-1.49229,5
ACTR3,T_cell_CD8,-0.27509,5
ACTR3B,T_cell_CD8,0.06298,5
ACTR3C,T_cell_CD8,-0.04159,5
ACTR5,T_cell_CD8,-0.26065,5
ACTR6,T_cell_CD8,-0.97325,5
ACTR8,T_cell_CD8,-1.84327,5
ACTRT1,T_cell_CD8,0.11049,5
ACTRT2,T_cell_CD8,-0.05201,5
ACTRT3,T_cell_CD8,-0.02603,5
ACVR1,T_cell_CD8,0.20057,5
ACVR1B,T_cell_CD8,-0.12212,5
ACVR1C,T_cell_CD8,0.0888,5
ACVR2A,T_cell_CD8,-0.06498,5
ACVR2B,T_cell_CD8,0.08131,5
ACVRL1,T_cell_CD8,-0.02852,5
ACY1,T_cell_CD8,-0.0161,5
ACY3,T_cell_CD8,0.00452,5
ACYP1,T_cell_CD8,-0.06559,5
ACYP2,T_cell_CD8,0.00467,5
ADA,T_cell_CD8,0.09654,5
ADA2,T_cell_CD8,-0.02984,5
ADAD1,T_cell_CD8,0.06149,5
ADAD2,T_cell_CD8,-0.07153,5
ADAL,T_cell_CD8,0.01995,5
ADAM10,T_cell_CD8,0.06016,5
ADAM11,T_cell_CD8,-0.42676,5
ADAM12,T_cell_CD8,0.06167,5
ADAM15,T_cell_CD8,-0.07559,5
ADAM17,T_cell_CD8,0.00929,5
ADAM18,T_cell_CD8,0.08896,5
ADAM19,T_cell_CD8,0.1569,5
ADAM2,T_cell_CD8,0.11576,5
ADAM20,T_cell_CD8,-0.04022,5
ADAM21,T_cell_CD8,-0.03349,5
ADAM22,T_cell_CD8,-0.03266,5
ADAM23,T_cell_CD8,0.042,5
ADAM28,T_cell_CD8,0.06878,5
ADAM29,T_cell_CD8,0.01428,5
ADAM30,T_cell_CD8,-0.10022,5
ADAM32,T_cell_CD8,0.23909,5
ADAM33,T_cell_CD8,-0.06022,5
ADAM7,T_cell_CD8,-0.13361,5
ADAM8,T_cell_CD8,0.05075,5
ADAM9,T_cell_CD8,0.06865,5
ADAMDEC1,T_cell_CD8,0.07252,5
ADAMTS1,T_cell_CD8,0.04684,5
ADAMTS10,T_cell_CD8,-0.19859,5
ADAMTS12,T_cell_CD8,0.11562,5
ADAMTS13,T_cell_CD8,-0.05863,5
ADAMTS14,T_cell_CD8,0.03996,5
ADAMTS15,T_cell_CD8,-0.18117,5
ADAMTS16,T_cell_CD8,0.11051,5
ADAMTS17,T_cell_CD8,0.02464,5
ADAMTS18,T_cell_CD8,0.10055,5
ADAMTS19,T_cell_CD8,0.07368,5
ADAMTS2,T_cell_CD8,0.09855,5
ADAMTS20,T_cell_CD8,0.02247,5
ADAMTS3,T_cell_CD8,-0.02385,5
ADAMTS4,T_cell_CD8,-0.13833,5
ADAMTS5,T_cell_CD8,0.0629,5
ADAMTS6,T_cell_CD8,-0.05146,5
ADAMTS7,T_cell_CD8,-0.42634,5
ADAMTS8,T_cell_CD8,-0.01521,5
ADAMTS9,T_cell_CD8,0.02596,5
ADAMTSL1,T_cell_CD8,-0.00036,5
ADAMTSL2,T_cell_CD8,-0.11823,5
ADAMTSL3,T_cell_CD8,0.08262,5
ADAMTSL4,T_cell_CD8,-0.0642,5
