gene_name,cell_type,mean_effect,n_cell_lines
CD200R1L,monocyte,-0.10556,32
CD209,monocyte,-0.07769,32
CD22,monocyte,-0.02155,32
CD226,monocyte,0.06296,32
CD244,monocyte,0.05255,32
CD247,monocyte,0.0765,32
CD248,monocyte,-0.02566,32
CD27,monocyte,-0.20982,32
CD274,monocyte,0.06497,32
CD276,monocyte,-0.17309,32
CD28,monocyte,0.11075,32
CD2AP,monocyte,0.09809,32
CD2BP2,monocyte,-0.46301,32
CD300A,monocyte,0.07933,32
CD300C,monocyte,0.01137,32
CD300E,monocyte,-0.06894,32
CD300LB,monocyte,-0.01472,32
CD300LD,monocyte,0.03462,32
CD300LF,monocyte,-0.00766,32
CD300LG,monocyte,-0.08686,32
CD302,monocyte,-0.05011,32
CD320,monocyte,-0.13628,32
CD33,monocyte,0.08479,32
CD34,monocyte,0.01799,32
CD36,monocyte,-0.03952,32
CD37,monocyte,-0.08904,32
CD38,monocyte,0.00982,32
CD3D,monocyte,0.01536,32
CD3E,monocyte,-0.03457,32
CD3G,monocyte,-0.04911,32
CD4,monocyte,-0.02017,32
CD40,monocyte,0.01404,32
CD40LG,monocyte,0.01509,32
CD44,monocyte,-0.00041,32
CD46,monocyte,-0.01437,32
CD47,monocyte,0.01298,32
CD48,monocyte,-0.0661,32
CD5,monocyte,-0.09051,32
CD52,monocyte,-0.04516,32
CD53,monocyte,-0.08536,32
CD55,monocyte,-0.04908,32
CD58,monocyte,-0.01905,32
CD59,monocyte,0.10163,32
CD5L,monocyte,-0.0244,32
CD6,monocyte,-0.13656,32
CD63,monocyte,0.03674,32
CD68,monocyte,-0.17314,32
CD69,monocyte,0.10872,32
CD7,monocyte,-0.13646,32
CD70,monocyte,0.01049,32
CD72,monocyte,0.13074,32
CD74,monocyte,0.10684,32
CD79A,monocyte,0.0892,32
CD79B,monocyte,-0.06703,32
CD80,monocyte,0.04479,32
CD81,monocyte,-0.0437,32
CD82,monocyte,-0.14765,32
CD83,monocyte,-0.0443,32
CD84,monocyte,0.13635,32
CD86,monocyte,0.00742,32
CD8A,monocyte,0.06204,32
CD9,monocyte,-0.0875,32
CD93,monocyte,0.01056,32
CD96,monocyte,-0.0051,32
CD99,monocyte,-0.00902,32
CD99L2,monocyte,0.0798,32
CDA,monocyte,-0.03972,32
CDADC1,monocyte,-0.01595,32
CDAN1,monocyte,-1.60733,32
CDC123,monocyte,-2.04248,32
CDC14A,monocyte,-0.07404,32
CDC14B,monocyte,-0.14092,32
CDC16,monocyte,-1.71142,32
CDC20,monocyte,-1.63223,32
CDC20B,monocyte,-0.09269,32
CDC23,monocyte,-1.85156,32
CDC25A,monocyte,-0.25052,32
CDC25B,monocyte,-0.19216,32
CDC25C,monocyte,-0.1951,32
CDC26,monocyte,-0.61899,32
CDC27,monocyte,-2.09339,32
CDC34,monocyte,-0.06169,32
CDC37,monocyte,-1.45398,32
CDC37L1,monocyte,-0.11962,32
CDC40,monocyte,-0.9482,32
CDC42,monocyte,-0.87316,32
CDC42BPA,monocyte,0.02099,32
CDC42BPB,monocyte,-0.0311,32
CDC42BPG,monocyte,-0.10398,32
CDC42EP1,monocyte,-0.05144,32
CDC42EP2,monocyte,-0.18381,32
CDC42EP3,monocyte,0.03997,32
CDC42EP4,monocyte,-0.14439,32
CDC42EP5,monocyte,0.04908,32
CDC42SE1,monocyte,-0.2533,32
CDC42SE2,monocyte,-0.02423,32
CDC45,monocyte,-2.20132,32
CDC5L,monocyte,-2.21664,32
CDC6,monocyte,-0.78667,32
CDC7,monocyte,-1.32275,32
CDC73,monocyte,-0.75553,32
CDCA2,monocyte,-0.07687,32
CDCA3,monocyte,-0.42364,32
CDCA4,monocyte,0.04152,32
CDCA5,monocyte,-0.77294,32
CDCA7,monocyte,0.02301,32
CDCA7L,monocyte,-0.11067,32
CDCA8,monocyte,-2.14596,32
CDCP1,monocyte,-0.09411,32
CDCP2,monocyte,0.0043,32
CDH1,monocyte,-0.057,32
CDH10,monocyte,0.03342,32
CDH11,monocyte,0.11941,32
CDH12,monocyte,-0.45591,32
CDH13,monocyte,0.14327,32
CDH15,monocyte,-0.27743,32
CDH16,monocyte,0.0181,32
CDH17,monocyte,0.0365,32
CDH18,monocyte,-0.07374,32
CDH19,monocyte,0.01406,32
CDH2,monocyte,-0.05401,32
CDH20,monocyte,-0.01252,32
CDH22,monocyte,-0.06212,32
CDH23,monocyte,-0.12879,32
CDH24,monocyte,-0.13891,32
CDH26,monocyte,-0.11987,32
CDH3,monocyte,-0.01988,32
CDH4,monocyte,-0.05316,32
CDH5,monocyte,-0.26585,32
CDH6,monocyte,-0.02615,32
CDH7,monocyte,-0.0043,32
CDH8,monocyte,0.16476,32
CDH9,monocyte,-0.01222,32
CDHR1,monocyte,-0.07588,32
CDHR2,monocyte,-0.02716,32
CDHR3,monocyte,-0.05211,32
CDHR4,monocyte,-0.0599,32
CDHR5,monocyte,-0.02586,32
CDIN1,monocyte,-0.21788,32
CDIP1,monocyte,0.06355,32
CDIPT,monocyte,-0.89873,32
CDK1,monocyte,-1.64039,32
CDK10,monocyte,-0.22831,32
CDK12,monocyte,-0.24591,32
CDK13,monocyte,-0.36787,32
CDK14,monocyte,0.07972,32
CDK15,monocyte,0.00632,32
CDK16,monocyte,-0.02254,32
CDK17,monocyte,0.07911,32
CDK18,monocyte,0.00518,32
CDK19,monocyte,-0.11365,32
CDK2,monocyte,-0.60866,32
CDK20,monocyte,-0.00913,32
CDK2AP1,monocyte,-0.10708,32
CDK2AP2,monocyte,-0.2964,32
CDK3,monocyte,-0.073,32
CDK4,monocyte,-0.41759,32
CDK5,monocyte,0.02832,32
CDK5R1,monocyte,0.06673,32
CDK5R2,monocyte,0.07907,32
CDK5RAP1,monocyte,-0.19071,32
CDK5RAP2,monocyte,-0.31052,32
CDK5RAP3,monocyte,-0.15262,32
CDK6,monocyte,-1.03933,32
CDK7,monocyte,-2.18109,32
CDK8,monocyte,-0.09344,32
CDK9,monocyte,-1.09055,32
CDKAL1,monocyte,-0.17149,32
CDKL1,monocyte,-0.07726,32
CDKL2,monocyte,-0.19631,32
CDKL3,monocyte,-0.02897,32
CDKL4,monocyte,0.02089,32
CDKL5,monocyte,0.02446,32
CDKN1A,monocyte,0.06786,32
CDKN1B,monocyte,0.04986,32
CDKN1C,monocyte,-0.06026,32
CDKN2A,monocyte,-0.07151,32
CDKN2AIP,monocyte,-0.13672,32
CDKN2AIPNL,monocyte,-0.25098,32
CDKN2B,monocyte,0.01315,32
CDKN2C,monocyte,0.1998,32
CDKN2D,monocyte,-0.01144,32
CDKN3,monocyte,-0.05387,32
CDNF,monocyte,-0.05816,32
CDO1,monocyte,0.04801,32
CDON,monocyte,0.04905,32
CDPF1,monocyte,-0.24685,32
CDR1,monocyte,0.10248,32
CDR2,monocyte,-0.05463,32
CDR2L,monocyte,0.0023,32
CDRT1,monocyte,-0.08221,32
CDRT15,monocyte,-0.1452,32
CDRT15L2,monocyte,0.05835,32
CDS1,monocyte,-0.11707,32
CDS2,monocyte,-0.52344,32
CDSN,monocyte,-0.09634,32
CDT1,monocyte,-1.49523,32
CDV3,monocyte,-0.22319,32
CDX1,monocyte,0.08772,32
CDX2,monocyte,-0.09882,32
CDX4,monocyte,-0.15949,32
CDYL,monocyte,-0.26772,32
CDYL2,monocyte,0.00793,32
CEACAM1,monocyte,0.05295,32
CEACAM16,monocyte,-0.11269,32
CEACAM19,monocyte,-0.07059,32
CEACAM21,monocyte,-0.05295,32
CEACAM3,monocyte,-0.0218,32
CEACAM4,monocyte,-0.01993,32
CEACAM5,monocyte,-0.04996,32
CEACAM6,monocyte,-0.22438,32
CEACAM7,monocyte,-0.04084,32
CEACAM8,monocyte,-0.05679,32
CEBPA,monocyte,-0.48952,32
CEBPB,monocyte,-0.1475,32
CEBPD,monocyte,-0.10122,32
CEBPE,monocyte,-0.22898,32
CEBPG,monocyte,-0.02631,32
CEBPZ,monocyte,-1.01994,32
CEL,monocyte,-0.11496,32
CELA1,monocyte,-0.13875,32
CELA2A,monocyte,0.00449,32
CELA2B,monocyte,0.00408,32
CELA3A,monocyte,0.02473,32
CELA3B,monocyte,0.11791,32
CELF1,monocyte,-0.1225,32
CELF2,monocyte,-0.26125,32
CELF3,monocyte,-0.01043,32
CELF4,monocyte,0.06444,32
CELF5,monocyte,-0.09526,32
CELF6,monocyte,-0.0534,32
CELSR1,monocyte,0.11079,32
CELSR2,monocyte,-0.03768,32
CELSR3,monocyte,-0.05154,32
CEMIP,monocyte,-0.06062,32
CEMIP2,monocyte,0.00687,32
CEMP1,monocyte,-0.10421,32
CENATAC,monocyte,-1.04212,32
CEND1,monocyte,-0.19395,32
CENPA,monocyte,-1.0241,32
CENPB,monocyte,-0.24147,32
CENPC,monocyte,-0.80461,32
CENPE,monocyte,-0.50313,32
CENPF,monocyte,-0.20142,32
CENPH,monocyte,-0.8011,32
CENPI,monocyte,-0.74064,32
CENPJ,monocyte,-0.20026,32
CENPK,monocyte,-1.5231,32
CENPL,monocyte,-0.30052,32
CENPM,monocyte,0.12821,32
CENPN,monocyte,-0.93988,32
CENPO,monocyte,-0.16873,32
CENPP,monocyte,-0.30944,32
CENPQ,monocyte,0.06729,32
CENPS,monocyte,-0.14535,32
CENPT,monocyte,-0.62465,32
CENPU,monocyte,-0.13343,32
CENPV,monocyte,-0.02632,32
CENPW,monocyte,-1.76514,32
CENPX,monocyte,-0.34659,32
CEP104,monocyte,0.03696,32
CEP112,monocyte,-0.01412,32
CEP120,monocyte,-0.00398,32
CEP126,monocyte,-0.05409,32
CEP128,monocyte,0.15113,32
CEP131,monocyte,-1.12837,32
CEP135,monocyte,-0.17654,32
CEP152,monocyte,-0.29589,32
CEP162,monocyte,0.0663,32
CEP164,monocyte,-0.006,32
CEP170,monocyte,-0.11941,32
CEP170B,monocyte,0.00476,32
CEP19,monocyte,-0.06371,32
CEP192,monocyte,-0.6344,32
CEP20,monocyte,0.0694,32
CEP250,monocyte,-0.12735,32
CEP290,monocyte,-0.0476,32
CEP295,monocyte,-0.13469,32
CEP295NL,monocyte,-0.00508,32
CEP350,monocyte,-0.18855,32
CEP41,monocyte,-0.07,32
CEP43,monocyte,-0.97841,32
CEP44,monocyte,0.00866,32
CEP55,monocyte,-0.55239,32
CEP57,monocyte,-0.12617,32
CEP57L1,monocyte,0.04102,32
CEP63,monocyte,0.09931,32
CEP68,monocyte,-0.51603,32
CEP70,monocyte,0.0275,32
CEP72,monocyte,-0.10339,32
CEP76,monocyte,0.01653,32
CEP78,monocyte,-0.17574,32
CEP83,monocyte,0.13049,32
CEP85,monocyte,-0.32455,32
CEP85L,monocyte,-0.13762,32
CEP89,monocyte,0.00302,32
CEP95,monocyte,-0.09537,32
CEP97,monocyte,-0.43348,32
CEPT1,monocyte,-0.26157,32
CER1,monocyte,-0.04868,32
CERCAM,monocyte,-0.25379,32
CERK,monocyte,-0.1521,32
CERKL,monocyte,-0.08239,32
CERS1,monocyte,-0.04734,32
CERS2,monocyte,-0.3924,32
CERS3,monocyte,0.01397,32
CERS4,monocyte,-0.17479,32
CERS5,monocyte,-0.08528,32
CERS6,monocyte,0.06432,32
CERT1,monocyte,-0.08751,32
CES1,monocyte,-0.15464,32
CES2,monocyte,-0.06488,32
CES3,monocyte,-0.04936,32
CES4A,monocyte,-0.14514,32
CES5A,monocyte,-0.07674,32
CETN1,monocyte,0.08735,32
CETN2,monocyte,-0.01201,32
CETN3,monocyte,-0.08194,32
CETP,monocyte,-0.03385,32
CFAP100,monocyte,-0.03365,32
CFAP126,monocyte,-0.08414,32
CFAP157,monocyte,-0.01484,32
CFAP161,monocyte,-0.10189,32
CFAP20,monocyte,-0.55038,32
CFAP206,monocyte,0.0094,32
CFAP20DC,monocyte,0.07646,32
CFAP210,monocyte,0.0836,32
CFAP221,monocyte,-0.02219,32
CFAP251,monocyte,-0.0373,32
CFAP298,monocyte,-2.02685,32
CFAP299,monocyte,0.02274,32
CFAP300,monocyte,-0.11406,32
CFAP36,monocyte,-0.0269,32
CFAP410,monocyte,-0.21408,32
CFAP418,monocyte,-0.16114,32
CFAP43,monocyte,-0.03884,32
CFAP44,monocyte,-0.07915,32
CFAP45,monocyte,-0.00029,32
CFAP46,monocyte,0.05147,32
CFAP47,monocyte,0.14275,32
CFAP52,monocyte,-0.0589,32
CFAP53,monocyte,0.09811,32
CFAP57,monocyte,-0.13004,32
CFAP58,monocyte,-0.12229,32
CFAP61,monocyte,-0.05382,32
CFAP65,monocyte,0.0036,32
CFAP69,monocyte,-0.09857,32
CFAP70,monocyte,-0.10914,32
CFAP73,monocyte,-0.00642,32
CFAP77,monocyte,-0.20704,32
CFAP91,monocyte,-0.00305,32
CFAP92,monocyte,-0.04081,32
CFAP97,monocyte,-0.00599,32
CFAP97D1,monocyte,-0.2016,32
CFB,monocyte,-0.25077,32
CFC1,monocyte,-0.01641,32
CFC1B,monocyte,0.11582,32
CFD,monocyte,-0.0796,32
CFDP1,monocyte,-0.73446,32
CFH,monocyte,0.0408,32
CFHR1,monocyte,-0.00681,32
CFHR2,monocyte,-0.02341,32
CFHR3,monocyte,0.06173,32
CFHR5,monocyte,0.05209,32
CFI,monocyte,0.05653,32
CFL1,monocyte,-1.03638,32
CFL2,monocyte,0.00121,32
CFLAR,monocyte,-0.52552,32
CFP,monocyte,0.12622,32
CFTR,monocyte,-0.04493,32
CGA,monocyte,0.07558,32
CGAS,monocyte,-0.06177,32
CGB7,monocyte,0.03528,32
CGGBP1,monocyte,-0.06643,32
CGN,monocyte,-0.03488,32
CGNL1,monocyte,-0.00819,32
CGREF1,monocyte,0.07806,32
CGRRF1,monocyte,-0.02095,32
CH25H,monocyte,0.10674,32
CHAC1,monocyte,-0.14977,32
CHAC2,monocyte,0.04675,32
CHAD,monocyte,-0.03468,32
CHADL,monocyte,-0.07543,32
CHAF1A,monocyte,-1.3348,32
CHAF1B,monocyte,-2.07346,32
CHAMP1,monocyte,-0.2323,32
CHAT,monocyte,-0.05216,32
CHCHD1,monocyte,-0.86301,32
CHCHD10,monocyte,-0.0755,32
CHCHD2,monocyte,-1.04095,32
CHCHD3,monocyte,-0.38507,32
CHCHD4,monocyte,-0.76808,32
CHCHD5,monocyte,-0.14966,32
CHCHD6,monocyte,0.05449,32
CHCHD7,monocyte,-0.00118,32
CHD1,monocyte,-0.28238,32
CHD1L,monocyte,-0.06962,32
CHD2,monocyte,-0.10146,32
CHD3,monocyte,-0.10032,32
CHD4,monocyte,-1.14686,32
CHD5,monocyte,0.01283,32
CHD6,monocyte,-0.06249,32
CHD7,monocyte,-0.11866,32
CHD8,monocyte,-0.19686,32
CHD9,monocyte,0.0063,32
CHDH,monocyte,-0.03833,32
CHEK1,monocyte,-1.53614,32
CHEK2,monocyte,0.09882,32
CHERP,monocyte,-1.4165,32
CHFR,monocyte,-0.03936,32
CHGA,monocyte,-0.14656,32
CHGB,monocyte,-0.13475,32
CHI3L1,monocyte,-0.03399,32
CHI3L2,monocyte,-0.04053,32
CHIA,monocyte,0.00857,32
CHIC1,monocyte,0.01682,32
CHIC2,monocyte,-0.05466,32
CHID1,monocyte,-0.13662,32
CHIT1,monocyte,-0.10671,32
CHKA,monocyte,-0.49378,32
CHKB,monocyte,-0.1131,32
CHL1,monocyte,-0.00651,32
CHM,monocyte,-0.1494,32
CHML,monocyte,-0.08144,32
CHMP1A,monocyte,-0.68781,32
CHMP1B,monocyte,0.16851,32
CHMP2A,monocyte,-1.49386,32
CHMP2B,monocyte,0.08414,32
CHMP3,monocyte,-0.71813,32
CHMP4A,monocyte,-0.08667,32
CHMP4B,monocyte,-1.11244,32
CHMP4C,monocyte,-0.14214,32
CHMP5,monocyte,-1.1837,32
CHMP6,monocyte,-1.60173,32
CHMP7,monocyte,-0.51497,32
CHN1,monocyte,0.08509,32
CHN2,monocyte,-0.08857,32
CHODL,monocyte,-0.05056,32
CHORDC1,monocyte,-1.44532,32
CHP1,monocyte,0.06525,32
CHP2,monocyte,-0.0813,32
CHPF,monocyte,-0.01936,32
CHPF2,monocyte,-0.07178,32
CHPT1,monocyte,0.00889,32
CHRAC1,monocyte,-0.18129,32
CHRD,monocyte,0.0349,32
CHRDL1,monocyte,0.02501,32
CHRDL2,monocyte,-0.08682,32
CHRFAM7A,monocyte,0.05731,32
CHRM1,monocyte,0.0424,32
CHRM2,monocyte,0.038,32
CHRM3,monocyte,0.12582,32
CHRM4,monocyte,-0.0852,32
CHRM5,monocyte,-0.08819,32
CHRNA1,monocyte,-0.02199,32
CHRNA10,monocyte,-0.13115,32
CHRNA2,monocyte,0.10468,32
CHRNA3,monocyte,0.05447,32
CHRNA4,monocyte,-0.09754,32
CHRNA5,monocyte,-0.03191,32
CHRNA6,monocyte,-0.05497,32
CHRNA7,monocyte,-0.06802,32
CHRNA9,monocyte,-0.13164,32
CHRNB1,monocyte,-0.06432,32
CHRNB2,monocyte,0.00061,32
CHRNB3,monocyte,0.06316,32
CHRNB4,monocyte,0.10955,32
CHRND,monocyte,-0.28967,32
CHRNE,monocyte,-0.01217,32
CHRNG,monocyte,-0.24117,32
CHST1,monocyte,0.05089,32
CHST10,monocyte,-0.07116,32
CHST11,monocyte,-0.01572,32
CHST12,monocyte,0.01066,32
CHST13,monocyte,0.00121,32
CHST14,monocyte,0.05394,32
CHST15,monocyte,0.04324,32
CHST2,monocyte,-0.04996,32
CHST3,monocyte,-0.02051,32
CHST4,monocyte,-0.16461,32
CHST5,monocyte,-0.01938,32
CHST6,monocyte,-0.0597,32
CHST7,monocyte,-0.09605,32
CHST8,monocyte,-0.08666,32
CHST9,monocyte,0.11772,32
CHSY1,monocyte,0.03706,32
CHSY3,monocyte,0.05595,32
CHTF18,monocyte,-0.52636,32
CHTF8,monocyte,-0.51812,32
CHTOP,monocyte,-0.39595,32
CHUK,monocyte,-0.06306,32
CHURC1,monocyte,-0.12002,32
CIAO1,monocyte,-1.39282,32
CIAO2A,monocyte,-0.44004,32
CIAO2B,monocyte,-1.59722,32
CIAO3,monocyte,-1.62357,32
CIAPIN1,monocyte,-1.01341,32
CIART,monocyte,-0.15321,32
CIB1,monocyte,-0.00236,32
CIB2,monocyte,-0.04696,32
CIB3,monocyte,-0.01258,32
CIB4,monocyte,-0.22407,32
CIBAR1,monocyte,-0.07578,32
CIBAR2,monocyte,-0.0797,32
CIC,monocyte,-0.10308,32
CIDEA,monocyte,0.02614,32
CIDEB,monocyte,-0.09517,32
CIDEC,monocyte,-0.04936,32
CIITA,monocyte,0.01745,32
CILK1,monocyte,-0.07079,32
CILP,monocyte,0.02275,32
CILP2,monocyte,-0.03539,32
CINP,monocyte,-1.55903,32
CIP2A,monocyte,-0.15717,32
CIPC,monocyte,0.04069,32
CIR1,monocyte,-0.19247,32
CIRBP,monocyte,0.01769,32
CISD1,monocyte,0.04323,32
CISD2,monocyte,-0.00042,32
CISD3,monocyte,-0.03864,32
CISH,monocyte,-0.03922,32
CIT,monocyte,-0.35258,32
CITED1,monocyte,-0.01144,32
CITED2,monocyte,-0.35039,32
CITED4,monocyte,-0.07087,32
CIZ1,monocyte,-0.21806,32
CKAP2,monocyte,-0.24934,32
CKAP2L,monocyte,-0.13663,32
CKAP4,monocyte,0.0338,32
CKAP5,monocyte,-1.11437,32
CKB,monocyte,0.0679,32
CKLF,monocyte,-0.06094,32
CKM,monocyte,-0.01106,32
CKMT2,monocyte,0.13408,32
CKS1B,monocyte,-0.38693,32
CKS2,monocyte,-0.1711,32
CLASRP,monocyte,-0.40828,32
CLBA1,monocyte,0.04949,32
CLC,monocyte,-0.02621,32
CLCA1,monocyte,0.10799,32
CLCA2,monocyte,-0.03428,32
CLCA4,monocyte,0.05496,32
CLCC1,monocyte,-0.25893,32
CLCF1,monocyte,0.02712,32
CLCN1,monocyte,-0.02931,32
CLCN2,monocyte,-0.04503,32
CLCN3,monocyte,0.01552,32
CLCN4,monocyte,0.05277,32
CLCN5,monocyte,-0.01057,32
CLCN6,monocyte,-0.08775,32
CLCN7,monocyte,-0.07797,32
CLCNKA,monocyte,-0.04767,32
CLCNKB,monocyte,0.0876,32
CLDN1,monocyte,-0.05093,32
CLDN10,monocyte,-0.02216,32
CLDN11,monocyte,-0.06393,32
CLDN12,monocyte,0.00467,32
CLDN14,monocyte,0.03698,32
CLDN15,monocyte,0.00487,32
CLDN16,monocyte,0.0536,32
CLDN17,monocyte,0.03149,32
CLDN18,monocyte,-0.02229,32
CLDN19,monocyte,-0.17546,32
CLDN2,monocyte,0.12903,32
CLDN20,monocyte,0.13884,32
CLDN22,monocyte,0.01172,32
CLDN23,monocyte,-0.0126,32
CLDN25,monocyte,-0.04347,32
CLDN3,monocyte,0.09907,32
CLDN4,monocyte,0.0086,32
CLDN5,monocyte,-0.04887,32
CLDN6,monocyte,-0.29473,32
CLDN7,monocyte,-0.14687,32
CLDN8,monocyte,0.03294,32
CLDN9,monocyte,-0.04184,32
CLDND1,monocyte,-0.09936,32
CLDND2,monocyte,0.05131,32
CLEC10A,monocyte,0.15263,32
CLEC11A,monocyte,0.0575,32
CLEC12A,monocyte,-0.01944,32
CLEC12B,monocyte,0.03028,32
CLEC14A,monocyte,-0.11187,32
CLEC16A,monocyte,-0.08981,32
CLEC17A,monocyte,0.02541,32
CLEC18A,monocyte,-0.00813,32
CLEC18B,monocyte,-0.2118,32
CLEC1A,monocyte,-0.12416,32
CLEC1B,monocyte,0.0707,32
CLEC2A,monocyte,-0.06196,32
CLEC2B,monocyte,0.07554,32
CLEC2D,monocyte,0.077,32
CLEC2L,monocyte,0.04062,32
CLEC3A,monocyte,-0.01041,32
CLEC3B,monocyte,0.07451,32
CLEC4A,monocyte,-0.07706,32
CLEC4C,monocyte,0.0556,32
CLEC4D,monocyte,-0.10722,32
CLEC4E,monocyte,-0.0657,32
CLEC4F,monocyte,-0.03897,32
CLEC4G,monocyte,-0.12784,32
CLEC4M,monocyte,0.1224,32
CLEC5A,monocyte,0.06366,32
CLEC6A,monocyte,-0.02218,32
CLEC7A,monocyte,0.13795,32
CLEC9A,monocyte,0.04245,32
CLECL1,monocyte,0.01035,32
CLGN,monocyte,-0.0325,32
CLHC1,monocyte,-0.04467,32
CLIC1,monocyte,-0.02854,32
CLIC2,monocyte,0.16767,32
CLIC3,monocyte,-0.05832,32
CLIC4,monocyte,0.00343,32
CLIC5,monocyte,0.01114,32
CLIC6,monocyte,0.02422,32
CLINT1,monocyte,0.00821,32
CLIP1,monocyte,0.01658,32
CLIP2,monocyte,-0.01422,32
CLIP3,monocyte,-0.00995,32
CLIP4,monocyte,0.14103,32
CLK1,monocyte,-0.12538,32
CLK2,monocyte,-0.56797,32
CLK3,monocyte,-0.11736,32
CLK4,monocyte,-0.05788,32
CLLU1-AS1,monocyte,0.14195,32
CLMN,monocyte,0.16348,32
CLMP,monocyte,-0.06844,32
CLN3,monocyte,-0.15187,32
CLN5,monocyte,-0.03739,32
CLN6,monocyte,-0.05102,32
CLN8,monocyte,0.0415,32
CLNK,monocyte,-0.03272,32
CLNS1A,monocyte,-1.17045,32
CLOCK,monocyte,0.08428,32
CLP1,monocyte,-1.40911,32
CLPB,monocyte,-0.3506,32
CLPP,monocyte,-0.15889,32
CLPS,monocyte,-0.29103,32
CLPSL1,monocyte,0.02227,32
CLPSL2,monocyte,-0.0227,32
CLPTM1,monocyte,-0.14876,32
CLPTM1L,monocyte,0.09069,32
CLPX,monocyte,-0.24779,32
CLRN1,monocyte,0.12408,32
CLRN2,monocyte,-0.03271,32
CLRN3,monocyte,0.06314,32
CLSPN,monocyte,-0.77906,32
CLSTN1,monocyte,-0.11476,32
CLSTN2,monocyte,0.0115,32
CLSTN3,monocyte,-0.10926,32
CLTA,monocyte,0.02764,32
CLTB,monocyte,-0.16941,32
CLTC,monocyte,-1.80504,32
CLTCL1,monocyte,-0.0468,32
CLTRN,monocyte,0.03039,32
CLU,monocyte,-0.00572,32
CLUAP1,monocyte,-0.05147,32
CLUH,monocyte,-0.34773,32
CLUL1,monocyte,-0.03801,32
CLVS1,monocyte,-0.01242,32
CLVS2,monocyte,0.11092,32
CLYBL,monocyte,0.02443,32
CMA1,monocyte,-0.03557,32
CMAS,monocyte,-0.15781,32
CMBL,monocyte,-0.0095,32
CMC1,monocyte,-0.12353,32
CMC2,monocyte,0.0046,32
CMC4,monocyte,0.02669,32
CMIP,monocyte,-0.7967,32
CMKLR1,monocyte,-0.11471,32
CMKLR2,monocyte,0.10841,32
CMPK1,monocyte,-1.17199,32
CMPK2,monocyte,-0.16155,32
CMSS1,monocyte,0.11257,32
CMTM1,monocyte,0.10022,32
CMTM2,monocyte,0.02263,32
CMTM3,monocyte,0.07509,32
CMTM4,monocyte,-0.05085,32
CMTM5,monocyte,-0.10489,32
CMTM6,monocyte,-0.18194,32
CMTM7,monocyte,0.10955,32
CMTM8,monocyte,-0.04629,32
CMTR1,monocyte,-1.06285,32
CMTR2,monocyte,-0.24293,32
CMYA5,monocyte,-0.00885,32
CNBD1,monocyte,0.12728,32
CNBD2,monocyte,-0.06019,32
CNBP,monocyte,-0.16787,32
CNDP1,monocyte,0.01786,32
CNDP2,monocyte,-0.03823,32
CNEP1R1,monocyte,-0.23523,32
CNFN,monocyte,0.02007,32
CNGA1,monocyte,-0.04283,32
CNGA2,monocyte,0.02393,32
CNGA3,monocyte,-0.01653,32
CNGA4,monocyte,0.00993,32
CNGB1,monocyte,0.03164,32
CNGB3,monocyte,-0.02785,32
CNIH1,monocyte,-0.17285,32
CNIH2,monocyte,-0.11553,32
CNIH3,monocyte,0.03836,32
CNIH4,monocyte,-2.33261,32
CNKSR1,monocyte,0.01061,32
CNKSR2,monocyte,-0.07523,32
CNKSR3,monocyte,0.06568,32
CNMD,monocyte,0.00988,32
CNN1,monocyte,-0.19209,32
CNN2,monocyte,-1.17952,32
CNN3,monocyte,-0.0059,32
CNNM1,monocyte,-0.13998,32
CNNM2,monocyte,-0.09642,32
CNNM3,monocyte,-0.07566,32
CNNM4,monocyte,-0.06244,32
CNOT1,monocyte,-0.73014,32
CNOT10,monocyte,-0.15972,32
CNOT11,monocyte,-0.13333,32
CNOT2,monocyte,-0.62038,32
CNOT3,monocyte,-1.63275,32
CNOT4,monocyte,-0.21253,32
CNOT6,monocyte,-0.10841,32
CNOT6L,monocyte,-0.1203,32
CNOT7,monocyte,-0.16344,32
CNOT8,monocyte,0.09601,32
CNOT9,monocyte,-0.53242,32
CNP,monocyte,-0.26322,32
CNPPD1,monocyte,0.19165,32
CNPY1,monocyte,0.07597,32
CNPY2,monocyte,-0.20796,32
CNPY3,monocyte,0.00293,32
CNPY4,monocyte,-0.07099,32
CNR1,monocyte,0.11232,32
CNR2,monocyte,-0.00142,32
CNRIP1,monocyte,-0.00438,32
CNST,monocyte,0.08326,32
CNTD1,monocyte,-0.00917,32
CNTF,monocyte,-0.04273,32
CNTFR,monocyte,-0.00365,32
CNTLN,monocyte,-0.06921,32
CNTN1,monocyte,-0.03183,32
CNTN2,monocyte,-0.16439,32
CNTN3,monocyte,-0.03617,32
CNTN4,monocyte,0.01712,32
CNTN5,monocyte,0.01956,32
CNTN6,monocyte,0.03357,32
CNTNAP1,monocyte,-0.22069,32
CNTNAP2,monocyte,0.05085,32
CNTNAP3,monocyte,-0.18231,32
CNTNAP3B,monocyte,-0.13739,32
CNTNAP4,monocyte,0.13912,32
CNTNAP5,monocyte,0.01399,32
CNTRL,monocyte,-0.08865,32
CNTROB,monocyte,-0.03185,32
COA1,monocyte,-0.09424,32
COA3,monocyte,-0.37836,32
COA4,monocyte,-0.06742,32
COA5,monocyte,-0.65572,32
COA6,monocyte,-0.65206,32
COA7,monocyte,-0.78133,32
COA8,monocyte,-0.07213,32
COASY,monocyte,-0.84639,32
COBL,monocyte,0.11455,32
